order_id,order_date,sku,quantity,selling_price,currency,order_status,discount
ORD-10001,2026-07-15,5155961106,4,2.499000000000000e+01,USD,Completed,
ORD-10002,2026-07-15,6013308220,1,3.324000000000000e+01,USD,Completed,
ORD-10003,2026-07-15,382394597,2,1.688000000000000e+01,USD,Completed,
ORD-10003,2026-07-15,5184785010,2,2.299000000000000e+01,USD,Completed,
ORD-10004,2026-07-15,5397071399,2,1.299000000000000e+01,USD,Completed,
ORD-10005,2026-07-15,382394597,3,1.688000000000000e+01,USD,Completed,
ORD-10005,2026-07-15,5164703747,4,6.090000000000000e+00,USD,Completed,
ORD-10005,2026-07-15,6013308220,3,3.324000000000000e+01,USD,Shipped,
ORD-10006,2026-07-15,512809025,1,28,USD,Completed,10%
ORD-10007,2026-07-15,5164703747,2,6.090000000000000e+00,USD,Completed,10%
ORD-10007,2026-07-15,173530386,3,2.290000000000000e+01,USD,Completed,
ORD-10007,2026-07-15,5397071399,1,1.299000000000000e+01,USD,Completed,10%
ORD-10008,2026-07-15,5344195287,2,2.199000000000000e+01,USD,Completed,
ORD-10008,2026-07-15,382394597,1,1.688000000000000e+01,USD,Completed,
ORD-10009,2026-07-15,5344195287,2,2.199000000000000e+01,USD,Completed,
ORD-10010,2026-07-16,173530386,4,2.290000000000000e+01,USD,Completed,
ORD-10010,2026-07-16,382394597,3,1.688000000000000e+01,USD,Shipped,
ORD-10011,2026-07-16,5397071399,1,1.299000000000000e+01,USD,Completed,
ORD-10012,2026-07-16,430528189,4,4.788000000000000e+01,USD,Completed,
ORD-10012,2026-07-16,161657830,4,4.999000000000000e+01,USD,Completed,
ORD-10013,2026-07-16,382394597,3,1.688000000000000e+01,USD,Completed,
ORD-10013,2026-07-16,871349337,3,2.738000000000000e+01,USD,Completed,
ORD-10013,2026-07-16,430528189,4,4.788000000000000e+01,USD,Shipped,
ORD-10014,2026-07-16,6013308220,4,3.324000000000000e+01,USD,Shipped,
ORD-10016,2026-07-16,382394597,3,1.688000000000000e+01,USD,Completed,
ORD-10017,2026-07-16,5184785010,4,2.299000000000000e+01,USD,Completed,
ORD-10017,2026-07-16,173530386,1,2.290000000000000e+01,USD,Completed,
ORD-10018,2026-07-16,6013308220,3,3.324000000000000e+01,USD,Completed,10%
ORD-10018,2026-07-16,430528189,1,4.788000000000000e+01,USD,Completed,
ORD-10019,2026-07-16,871349337,4,2.738000000000000e+01,USD,Completed,10%
ORD-10020,2026-07-16,5397071399,1,1.299000000000000e+01,USD,Completed,
ORD-10021,2026-07-16,5184785010,3,2.299000000000000e+01,USD,Completed,
ORD-10021,2026-07-16,430528189,3,4.788000000000000e+01,USD,Completed,10%
ORD-10021,2026-07-16,5397071399,4,1.299000000000000e+01,USD,Completed,
ORD-10022,2026-07-17,382394597,4,1.688000000000000e+01,USD,Completed,10%
ORD-10022,2026-07-17,5184785010,1,2.299000000000000e+01,USD,Completed,
ORD-10022,2026-07-17,5164703747,2,6.090000000000000e+00,USD,Completed,
ORD-10023,2026-07-17,161657830,2,4.999000000000000e+01,USD,Shipped,
